names	x.pos	y.pos	color	alias	FC	NAC002	AtbZIP52	PIF3	MYB3	ZAT10	ERF055	VIP1	ERF014	NAC018	NAP	ANAC032	RGA	ATHB_21	ATHB_6	SVP	ABI5	IBH1	BRC1	ERF035	GBF2	PDF2	HSFB2B	TCX2	WRKY18	ABF3	ATHB_40	ZAT6	DREB2A	AtMYB56	ERF003	NAC6_ORE1	HAT2	SPCH	DOF5_4	NAC102	ATHB_53	HEC1
AT1G06040	1184.19864701759	-726.166198730469	#FF0033	BBX24	1.07	0	0	0	1	0	0	0	0	1	1	1	0	0	0	1	0	0	1	1	1	0	0	0	0	1	0	1	0	0	1	0	1	1	0	1	0	1
AT1G06080	1573.00720214844	-43.0610432578291	#3399FF	ADS1	1.32	1	0	0	0	1	0	0	0	1	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	1
AT1G06190	-2223.96175150643	-430.262512207031	#3399FF	RHON1	1.04	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0
AT1G06420	-1662.94311523438	-697.277160644531	#3399FF		-1.09	1	0	0	0	1	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0
AT1G06430	843.896585895916	789.579650878906	#3399FF	FTSH8	1.41	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0
AT1G06550	-593.94388814201	-1931.65173339844	#3399FF		1.05	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
AT1G06570	647.394462344917	-1911.44299316406	#3399FF	HPD	1.11	1	0	0	1	1	0	0	0	1	0	1	0	0	0	0	1	0	0	1	1	0	0	0	0	1	0	1	1	0	1	0	0	1	0	1	0	1
AT1G06640	-513.944010212322	-2011.65209960938	#3399FF		-1.11	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0
AT1G06850	1503.14749955666	36.8415756225586	#006600	bZIP52	-1.04	0	1	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	1	0	0	0	1
AT1G06980	1891.97790527344	-319.738189697266	#3399FF		1.13	0	1	0	0	0	0	1	0	1	0	0	0	0	1	1	1	0	0	1	0	0	0	0	1	0	1	0	0	1	1	0	1	0	0	0	0	1
AT1G07090	-196.906204223633	572.766397907635	#FF0033	LSH6	1.79	0	1	1	1	1	0	0	0	0	0	1	0	1	0	0	1	0	1	1	1	0	0	0	0	1	1	1	0	1	1	0	1	1	0	0	1	1
AT1G07370	-2001.27730513084	-959.220397949219	#3399FF	ATPCNA1	1.3	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
AT1G07430	-1053.81494140625	571.337913040999	#FF0033	AIP1	1.04	1	0	0	1	1	0	0	1	1	1	1	0	0	0	1	1	0	1	1	1	0	0	0	1	1	0	0	1	0	1	0	0	1	1	1	0	1
AT1G07750	-28.0528297424316	985.991312458416	#3399FF		-1.16	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	1	1	0	1	0
AT1G08510	1513.41349076759	-670.903442382813	#3399FF	FATB	1.06	1	0	0	1	1	0	0	0	1	1	1	0	0	1	1	0	0	0	1	1	0	0	0	0	1	0	1	1	0	0	0	0	1	1	1	0	1
AT1G08560	-1761.27388716209	-959.220397949219	#3399FF	ATSYP111	1.14	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0
AT1G08630	887.394462344917	-1951.44299316406	#3399FF	THA1	1.49	1	0	0	0	1	0	0	0	1	0	1	1	0	0	0	1	0	0	1	1	0	0	0	0	1	1	1	0	0	0	0	1	1	0	1	1	1
AT1G09070	-1277.47985839844	811.608437056657	#3399FF	(AT)SRC2	-1.08	0	1	0	0	0	0	0	1	0	0	1	0	0	1	1	0	0	0	1	0	1	0	0	0	1	1	0	1	0	1	0	0	1	1	0	0	1
AT1G09140	-917.067504882813	935.140991210938	#3399FF	At-SR30	-1.1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
AT1G09200	-2401.27730513084	-959.220397949219	#3399FF	H3.1	1.21	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	1	0	0	0
AT1G09250	1048.69152832031	-342.340148925781	#9900FF	AIF4	1.11	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0
AT1G09450	-2321.27730513084	-1079.22045898438	#3399FF	AtHaspin	1.1	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0
AT1G09530	776.377319335938	-1249.58337402344	#9900FF	PAP3	-1.11	1	0	1	0	1	0	0	0	0	0	1	0	1	1	1	0	0	1	0	1	0	0	0	1	1	1	0	1	0	0	0	1	1	1	0	1	1
AT1G10140	173.347778320313	939.894287109375	#3399FF		-1.24	0	1	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	1	1
AT1G10740	678.274698688885	499.882263183594	#FF0033		1.51	1	0	0	0	0	0	0	0	1	1	0	0	0	1	1	0	0	1	0	1	0	0	0	0	1	1	1	0	0	0	0	0	1	0	0	1	1
AT1G10780	-1601.27376509178	-1319.22045898438	#3399FF		1.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G11210	-776.587951660156	455.970092773438	#FF0033		1.01	0	0	1	1	0	0	0	0	1	0	1	0	1	1	1	0	0	1	1	1	0	0	0	1	1	1	1	0	0	1	0	0	1	1	0	1	1
AT1G11580	-846.555725097656	-1811.16003417969	#3399FF	ATPMEPCRA	-1.99	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0
AT1G11840	-355.365091755291	-1366.279296875	#FF0033	ATGLX1	-1.01	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	1	1	1	0	0	0	0	1	0	1	1	0	0	0	0	1	0	0	0	1
AT1G12240	1503.36389160156	-1096.68481445313	#3399FF	ATBETAFRUCT4	-1.96	1	0	0	0	0	0	0	1	1	1	0	0	1	1	1	0	0	0	1	1	0	0	0	0	0	1	0	0	1	1	1	1	0	1	0	1	0
AT1G13270	-1823.95967631112	-310.2626953125	#3399FF	MAP1B	-1.02	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0
AT1G13990	-677.067687988281	895.140991210937	#3399FF		-1.2	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	1	1	0	0	0	0	0	0	1	0	0
AT1G14200	-1058.32458496094	725.428688521501	#006600		-1.49	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
AT1G14730	-196.906204223633	692.766703083416	#FF0033		1.09	1	1	0	0	0	0	0	0	1	1	1	0	0	0	1	0	0	1	0	1	1	0	1	1	0	1	0	0	0	1	0	0	0	1	0	0	1
AT1G14840	-1371.21118164063	-395.700370548042	#FF0033	ATMAP70-4	-1.07	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	1
AT1G14890	173.347778320313	979.89404296875	#3399FF		-1.38	1	0	0	0	1	0	0	0	1	1	1	0	0	1	0	0	0	0	0	1	0	0	1	0	1	1	1	1	0	1	0	1	0	0	1	1	1
AT1G15430	-1037.47985839844	971.60660600197	#3399FF		1.68	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1	1	0	0	0	0	0	1	0	1	0	1
AT1G15660	-1074.12394185295	-1142.67236328125	#FF0033	CENP-C	1.17	0	1	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	1	1	0	1	0	0	0	0	1	0	0	0	0	1
AT1G15670	653.555167911324	-1474.96362304688	#FF0033	KFB01	-1.4	1	1	0	0	0	1	1	0	1	1	0	0	1	1	1	1	0	1	1	1	0	0	0	1	1	1	0	0	0	0	0	0	0	1	0	1	1
AT1G16070	-1504.15702290763	-1063.31640625	#006600	AtTLP8	-1.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
AT1G16220	-1681.27388716209	-1319.22045898438	#3399FF		-1.02	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
AT1G16530	-273.943430378338	-1771.650390625	#3399FF	ASL9	-2.68	1	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	1	0	0	1	0	0	0	0	0	0	1	0
AT1G16730	918.274271442791	419.882904052734	#FF0033	UP6	1.4	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	1	1	0	1	1	0	1	0	0	0	0	0	0	0
AT1G16850	-757.067687988281	815.141906738281	#3399FF		-1.09	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	1	0	0	1	1	0	0	1	1	1	1	0	1	0	1	0	1	0	0	1	1	1
AT1G17140	-1841.27559614647	-1279.22045898438	#3399FF	ICR1	1.01	1	0	0	1	1	0	0	0	0	0	1	0	1	1	0	0	0	0	1	1	1	0	1	0	1	1	1	0	0	0	0	0	0	1	0	1	0
AT1G17190	-593.94388814201	-1771.650390625	#3399FF	ATGSTU26	-1.37	0	0	0	1	1	0	0	0	0	0	1	0	1	1	1	0	0	0	0	1	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	1	0
AT1G17650	-2223.96175150643	-310.2626953125	#3399FF	AtGLYR2	1.1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0
AT1G17700	1733.00744628906	76.9389643715655	#3399FF	PRA1.F1	-1.12	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0
AT1G17830	-1117.47985839844	811.608437056657	#3399FF		1.09	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	1	1	0	0	0	0	0	0	1	0	1	1
AT1G18370	-1154.12369771232	-1182.67236328125	#FF0033	ATNACK1	1.09	0	1	0	1	1	0	0	0	0	0	1	1	0	1	1	0	0	1	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	1	0	1	1
AT1G18485	-1663.9595542408	-310.2626953125	#3399FF		-1.18	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G19050	-778.074645996094	-1411.99072265625	#FF0033	ARR7	-1.57	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	1	1	0	0	0	0	0	1	1	0	0	1
AT1G19640	-113.943430378338	-1771.650390625	#3399FF	JMT	1.41	0	0	0	0	1	0	0	0	0	0	0	0	1	1	1	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	1	1
AT1G19850	-1506.16117329826	-1227.38647460938	#006600	ARF5	-1.39	1	0	0	0	1	0	0	0	1	1	1	0	1	1	1	1	0	0	1	1	0	0	0	1	1	1	1	0	1	0	0	0	0	1	1	1	0
AT1G19940	-686.556091308594	-1731.15991210938	#3399FF	AtGH9B5	1.42	0	1	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	0	0	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0
AT1G20020	-2063.96175150643	-470.262512207031	#3399FF	ATLFNR2	-1.28	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0
AT1G20490	-193.943247272869	-2011.65209960938	#3399FF		1.03	1	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	1	1	0	0	1	0	0	1	0	0	0	0
AT1G21410	763.896646931072	829.579284667969	#3399FF	SKP2A	1.22	0	0	0	1	1	0	0	0	1	0	1	0	0	0	0	1	0	0	0	1	0	1	1	0	1	0	1	1	0	0	0	0	0	0	1	0	1
AT1G21680	444.694946289063	-1418.52380371094	#FF0033		-1.11	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	1	0	1	0	1	0	0	0	1	1	1	1	0	0	1	0	0	1	0	1	1	1
AT1G21740	-2321.27730513084	-1199.22045898438	#3399FF		1.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
AT1G21780	893.55522894648	-1354.96362304688	#FF0033		1.61	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	1	1	0	0
AT1G21810	-1314.12369771232	-1062.67248535156	#FF0033		-1.17	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	1	1
AT1G22190	-813.498718261719	324.414001464844	#9900FF	RAP2.4	1.19	1	1	0	0	1	0	0	0	1	1	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	1	0	1	0	1	0	1	1
AT1G22330	1183.78263139259	-44.0441741943359	#FF0033		1.32	0	0	0	1	0	1	0	0	0	0	1	0	1	1	0	1	0	1	0	1	0	0	0	0	1	1	0	0	0	0	0	1	1	0	0	1	1
AT1G22640	951.209053280083	-739.182556152344	#9900FF	MYB3	1.21	1	0	0	1	0	0	0	0	1	1	1	0	0	0	0	1	0	1	1	1	0	0	1	0	1	1	1	0	1	0	0	0	1	1	1	1	1
AT1G22885	-268.052795410156	945.991678669353	#3399FF		1.11	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	1	0	0	0
AT1G22910	1571.97570800781	-399.738128662109	#3399FF		1.04	1	1	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0
AT1G22985	647.394462344917	-1871.44299316406	#3399FF	CRF7	-1.12	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	1	1	0	0	1	1	0	1	0
AT1G23000	-1681.27388716209	-1119.22045898438	#3399FF		1.01	1	0	0	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	1	1	0
AT1G23030	1813.00939941406	-43.0610432578291	#3399FF		-1.53	1	0	0	1	0	0	0	0	1	1	1	0	1	0	0	0	0	0	1	1	0	0	0	1	1	1	1	1	0	0	1	1	0	0	0	1	1
AT1G23040	-116.906173706055	652.766825153728	#FF0033		1.28	1	0	0	1	0	0	0	1	1	1	1	0	0	0	0	1	0	1	0	1	0	0	1	0	1	0	1	1	0	1	1	0	0	0	1	0	1
AT1G23050	444.694946289063	-1458.52380371094	#FF0033		1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	1	0	0	1	0	0	1	1	0	0	0	0	0	0	1	0	1	1
AT1G23390	1593.41373490822	-830.903442382813	#3399FF		-1.91	1	0	0	1	1	0	0	0	0	0	1	0	1	1	1	1	0	0	0	1	0	0	0	1	1	1	1	0	0	1	1	1	1	1	1	1	1
AT1G23410	-1681.27388716209	-1279.22045898438	#3399FF		1.17	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G23790	-2401.27730513084	-1199.22045898438	#3399FF		1.08	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AT1G23870	893.55522894648	-1434.96362304688	#FF0033	ATTPS9	1.06	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	1	1	0	1
AT1G24030	-193.943247272869	-2051.65258789062	#3399FF		-1.22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G25560	945.203125	-1245.76062011719	#9900FF	AtTEM1	-1.22	1	1	0	0	0	0	0	0	0	1	0	1	1	1	0	1	0	1	1	1	0	0	0	1	1	1	0	0	0	1	0	0	0	0	0	1	1
AT1G26570	-1566.57495117188	147.397674560547	#3399FF	ATUGD1	1.23	1	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	1	1	1	0	1	0	0	0	1	1	1	0	0
AT1G26800	287.980529785156	-1698.39477539063	#006600		-1.57	1	0	0	1	1	0	0	0	1	1	1	0	1	0	0	0	0	0	0	1	0	1	0	0	1	1	1	1	0	0	0	0	1	0	1	0	1
AT1G27290	727.394462344917	-1951.44299316406	#3399FF		-1.44	0	0	0	1	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	1	1	1	0	1
AT1G27670	1263.78263139259	-4.04417419433594	#FF0033		9.64	1	0	0	1	1	0	0	0	1	0	1	0	1	0	0	0	0	1	0	1	0	0	0	1	1	1	1	0	0	1	0	1	0	1	0	1	0
AT1G27730	-1252.62292480469	660.280373091813	#006600	STZ	-1.46	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	1	1	1	1	1	1	0	1	0	0	1	1	1	0	1
AT1G28330	284.694946289062	-1338.52380371094	#FF0033	AtDRM1	-1.31	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	1	0	0	1
AT1G28960	1047.39360785273	-1911.44299316406	#3399FF	ATNUDT15	1.11	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	1	0
AT1G29490	1811.97766113281	-399.738128662109	#3399FF	SAUR68	-1.83	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
AT1G30040	-776.587951660156	575.970153808594	#FF0033	ATGA2OX2	3.31	0	0	0	0	1	0	0	0	0	0	0	0	1	1	1	0	0	1	0	1	0	0	1	1	1	1	0	0	0	1	0	1	1	1	0	1	1
AT1G30130	-276.906158447266	612.766703083416	#FF0033		-1.01	0	1	0	1	0	0	0	0	0	0	1	0	0	1	1	0	0	1	1	1	0	0	0	0	1	1	1	0	1	1	0	1	0	0	1	1	0
AT1G31690	-1726.57482910156	147.397674560547	#3399FF		-2.06	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0
AT1G31710	-593.94388814201	-1971.65209960938	#3399FF		-1.25	0	1	0	1	0	0	0	1	0	0	1	0	1	0	1	0	0	0	1	1	0	0	1	1	1	1	1	1	0	0	0	1	1	0	1	1	0
AT1G31800	-2303.96175150643	-350.262573242187	#3399FF	CYP97A3	-1.09	1	1	0	0	1	0	0	0	1	1	1	0	1	0	1	0	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	1	1	0	0
AT1G32470	-1743.9605308033	-270.262756347656	#3399FF		1.01	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0
AT1G32520	1079.10543495511	836.797424316406	#3399FF		-1.36	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0
AT1G32550	-1291.21118164063	-355.700492618355	#FF0033	FdC2	1.03	1	0	0	0	1	0	0	0	0	0	1	0	1	1	0	0	0	1	0	1	0	0	0	0	1	1	1	1	0	0	0	0	1	1	1	1	0
AT1G33055	1047.39360785273	-1831.44299316406	#3399FF		-1.12	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	1	0	1	1	1	0	0	0	0	0	0	0	1	1	1
AT1G33260	-273.943430378338	-1891.65075683594	#3399FF		-1.26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0
AT1G34000	1673.41556596291	-830.903442382813	#3399FF	OHP2	-1.19	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	1	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	1
AT1G35430	1183.78263139259	-124.044143676758	#FF0033		2.41	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	1	1	0	1	0	0	0	1	0	1	0	0	0	1	1
AT1G35680	-1743.9605308033	-390.262451171875	#3399FF	RPL21C	1.1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
